ServerName,DatabaseName,LogicalName,PhysicalFullName,FileType,SizeMB,IsMemoryOptimizedDataOptionEnabled,TimeDataCollected
DESKTOP-QINDOBS,SUCOS_VENDAS,SUCOS_VENDAS,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\SUCOS_VENDAS.mdf,Rows,72,False,2022-07-07 02:13:28
DESKTOP-QINDOBS,SUCOS_VENDAS,SUCOS_VENDAS_log,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\SUCOS_VENDAS_log.ldf,Log,264,False,2022-07-07 02:13:28
DESKTOP-QINDOBS,CONTROLE_ESTOQUE,CONTROLE_ESTOQUE,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\CONTROLE_ESTOQUE.mdf,Rows,8,False,2022-07-07 02:13:28
DESKTOP-QINDOBS,CONTROLE_ESTOQUE,CONTROLE_ESTOQUE_log,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\CONTROLE_ESTOQUE_log.ldf,Log,8,False,2022-07-07 02:13:28
DESKTOP-QINDOBS,AGENDA_CONSOLE,AGENDA_CONSOLE,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\AGENDA_CONSOLE.mdf,Rows,8,False,2022-07-07 02:13:28
DESKTOP-QINDOBS,AGENDA_CONSOLE,AGENDA_CONSOLE_log,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\AGENDA_CONSOLE_log.ldf,Log,8,False,2022-07-07 02:13:28
DESKTOP-QINDOBS,RUBIKCUBE_TIMER,RUBIKCUBE_TIMER,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\RUBIKCUBE_TIMER.mdf,Rows,8,False,2022-07-07 02:13:28
DESKTOP-QINDOBS,RUBIKCUBE_TIMER,RUBIKCUBE_TIMER_log,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\RUBIKCUBE_TIMER_log.ldf,Log,8,False,2022-07-07 02:13:28
DESKTOP-QINDOBS,TESTE,TESTE,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\TESTE.mdf,Rows,8,False,2022-07-07 02:13:28
DESKTOP-QINDOBS,TESTE,TESTE_log,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\TESTE_log.ldf,Log,8,False,2022-07-07 02:13:28
