ServerName,DatabaseName,DatabaseFileName,FileType,TimeDataCollected,CounterName,AggregatorType,Value
DESKTOP-QINDOBS,,,,2022-07-07 01:34:58,IM,Mean,151.10527
DESKTOP-QINDOBS,,,,2022-07-07 01:34:58,IM,Occurence,19
DESKTOP-QINDOBS,,,,2022-07-07 01:34:58,IM,Variance,29.778395
DESKTOP-QINDOBS,,,,2022-07-07 01:34:58,IM,Max,165
DESKTOP-QINDOBS,,,,2022-07-07 01:34:58,IMP,Mean,56.894737
DESKTOP-QINDOBS,,,,2022-07-07 01:34:58,IMP,Occurence,19
DESKTOP-QINDOBS,,,,2022-07-07 01:34:58,IMP,Variance,0.9362881
DESKTOP-QINDOBS,,,,2022-07-07 01:34:58,IMP,Max,59
DESKTOP-QINDOBS,,,,2022-07-07 01:34:58,ICP,Mean,0
DESKTOP-QINDOBS,,,,2022-07-07 01:34:58,ICP,Occurence,19
DESKTOP-QINDOBS,,,,2022-07-07 01:34:58,ICP,Variance,0
DESKTOP-QINDOBS,,,,2022-07-07 01:34:58,ICP,Max,0
DESKTOP-QINDOBS,SUCOS_VENDAS,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\SUCOS_VENDAS.mdf,ROWS,2022-07-07 01:34:58,FRM,Mean,0.11111111
DESKTOP-QINDOBS,SUCOS_VENDAS,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\SUCOS_VENDAS.mdf,ROWS,2022-07-07 01:34:58,FRM,Occurence,18
DESKTOP-QINDOBS,SUCOS_VENDAS,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\SUCOS_VENDAS.mdf,ROWS,2022-07-07 01:34:58,FRM,Variance,0.09876543
DESKTOP-QINDOBS,SUCOS_VENDAS,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\SUCOS_VENDAS.mdf,ROWS,2022-07-07 01:34:58,FRM,Max,1
DESKTOP-QINDOBS,SUCOS_VENDAS,C:\Program Files\Microsoft SQL Server\MSSQL15.MSSQLSERVER\MSSQL\DATA\SUCOS_VENDAS.mdf,ROWS,2022-07-07 01:34:58,FWM,Mean,0
